urn,label,description,link
urn:cite2:hmt:place.v1:place124,Arisbe,"[coordinates=26.542314, 40.199817]
[commenting=""Commander: Asios""]",https://pleiades.stoa.org/places/501359
urn:cite2:hmt:place.v1:place406,Cromna,"[coordinates=32.6765, 41.82841]
[commenting=""Commander: Pylaimenes""]
[tagging=""Paphlagonians""]",https://pleiades.stoa.org/places/844994
urn:cite2:exploreHomer:place.v1:place1,Phocaea,"[coordinates=26.75261, 38.6684]
[commenting=""40""]
[tagging=""Phocaeans""]",https://pleiades.stoa.org/places/550823
urn:cite2:hmt:place.v1:place377,Pyrasus,"[coordinates=22.8206, 39.27922]
[commenting=""Commander: Podarkes""]
[tagging=""Phylake""]",https://pleiades.stoa.org/places/541081
urn:cite2:hmt:place.v1:place305,Erythrai,"[coordinates=26.48103, 38.38122]
[commenting=""Commanders: Arkesilaos, Prothoenor, Klonios""]
[tagging=""Boeotians""]",https://pleiades.stoa.org/places/550535
urn:cite2:exploreHomer:place.v1:place2,Okaleia?,"[coordinates=23.03774, 38.351509]
[commenting=""Commanders: Arkesilaos, Prothoenor, Klonios""]
[tagging=""Boeotians""]",https://pleiades.stoa.org/places/540978
urn:cite2:hmt:place.v1:place30,Boeotia,"[coordinates=23.184677533333, 38.346688033333]
[commenting=""Commanders: Arkesilaos, Prothoenor, Klonios""]
[tagging=""Boeotians""]",https://pleiades.stoa.org/places/540689
urn:cite2:exploreHomer:place.v1:place3,Oitylos,"[coordinates=22.3848, 36.705058]
[commenting=""Commander: Menelaos""]
[tagging=""Laconians""]",https://pleiades.stoa.org/places/570527
urn:cite2:exploreHomer:place.v1:place4,Cyparissius Sinus,"[coordinates=21.25, 37.75]
[commenting=""Commander: Nestor""]
[tagging=""Pylos""]",https://pleiades.stoa.org/places/570185
urn:cite2:hmt:place.v1:place303,Harma,"[coordinates=23.625, 38.125]
[commenting=""Commanders: Arkesilaos, Prothoenor, Klonios""]
[tagging=""Boeotians""]",https://pleiades.stoa.org/places/579943
urn:cite2:hmt:place.v1:place130,Arne,"[coordinates=22.93328, 38.48288]
[commenting=""Commanders: Arkesilaos, Prothoenor, Klonios""]
[tagging=""Boeotians""]",https://pleiades.stoa.org/places/540663
urn:cite2:hmt:place.v1:place198,Anemoreia,"[commenting=""Commanders: Schedios, Epistrophos""]
[tagging=""Phocaeans""]",https://pleiades.stoa.org/places/543626
urn:cite2:exploreHomer:place.v1:place5,Hypereia,"[commenting=""Commander: Eurypylos""]",https://pleiades.stoa.org/places/573257
urn:cite2:hmt:place.v1:place21,Crete,"[coordinates=24.995769971495, 35.219844391733]
[commenting=""Commander: Idomeneus""]
[tagging=""Cretans""]",https://pleiades.stoa.org/places/589748
urn:cite2:hmt:place.v1:place34,Phthia,"[coordinates=22.25, 39.25]
[commenting=""Commander: Achilles""]
[tagging=""Myrmidons""]",https://pleiades.stoa.org/places/541052
urn:cite2:hmt:place.v1:place10,Arcadia,"[coordinates=22.165323097346, 37.56741926845]
[commenting=""60""]
[tagging=""Arcadians""]",https://pleiades.stoa.org/places/570102
urn:cite2:exploreHomer:place.v1:place6,Oichalia?,"[coordinates=24.099827, 38.602679]
[commenting=""Commanders: Asklepios, Podaleirios, Machaon""]",https://pleiades.stoa.org/places/540971
urn:cite2:exploreHomer:place.v1:place7,Olooson,"[coordinates=22.215715, 39.89278]
[commenting=""Commanders: Polypoites, Leonteus""]",https://pleiades.stoa.org/places/540981
urn:cite2:exploreHomer:place.v1:place8,Perkote,"[coordinates=26.588806, 40.273913]",https://pleiades.stoa.org/places/501556
urn:cite2:hmt:place.v1:place319,Tarphe,"[coordinates=22.728224, 38.717051]
[commenting=""Commander: Ajax Oileus""]
[tagging=""Locrians""]",https://pleiades.stoa.org/places/540958
urn:cite2:hmt:place.v1:place323,Kerinthos,"[coordinates=23.48282, 38.825075]
[commenting=""Commander: Elphenor""]
[tagging=""Abantes""]",https://pleiades.stoa.org/places/540861
urn:cite2:hmt:place.v1:place165,Corinth,"[coordinates=22.878721, 37.906045]
[commenting=""Commander: Agamemnon""]
[tagging=""Mycenaeans""]",https://pleiades.stoa.org/places/570182
urn:cite2:exploreHomer:place.v1:place9,Enispe,"[commenting=""Commander: Agapenor""]
[tagging=""Arcadians""]",https://pleiades.stoa.org/places/573204
urn:cite2:hmt:place.v1:place126,Aetolia,"[coordinates=21.25, 38.75]
[commenting=""Commander: Thoas""]
[tagging=""Aetolians""]",https://pleiades.stoa.org/places/540591
urn:cite2:hmt:place.v1:place332,Cleonae,"[coordinates=22.75372, 37.81708]
[commenting=""Commander: Agamemnon""]
[tagging=""Mycenaeans""]",https://pleiades.stoa.org/places/570361
urn:cite2:hmt:place.v1:place167,Amyclae,"[commenting=""Commander: Menelaos""]
[tagging=""Laconians""]",https://pleiades.stoa.org/places/438675
urn:cite2:exploreHomer:place.v1:place10,Ithaca,"[coordinates=20.638399, 38.44193]
[commenting=""Commander: Odysseus""]
[tagging=""Cephallenians""]",https://pleiades.stoa.org/places/530905
urn:cite2:exploreHomer:place.v1:place11,Antinoopolis,"[coordinates=30.879299, 27.808099]
[commenting=""Commander: Achilles""]
[tagging=""Myrmidons""]",https://pleiades.stoa.org/places/756518
urn:cite2:hmt:place.v1:place206,Orthe,"[coordinates=22.16827, 39.721527]
[commenting=""Commanders: Polypoites, Leonteus""]",https://pleiades.stoa.org/places/540992
